gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
YBL083C	YBL083C	6.164354063	4.804457338
YBL084C	CDC27	1.845375896	1.401069112
YBL085W	BOI1	2.010959726	3.288236275
YBL086C	YBL086C	3.101470244	3.357520684
YBL087C	RPL23A	22.04998421	18.11059821
YBL088C	TEL1	2.419343036	2.588044965
YBL089W	AVT5	1.208379761	1.502217707
YBL090W	MRP21	4.248492963	6.012491262
YBL091C	MAP2	9.183586024	13.5160125
YBL091C-A	SCS22	5.986119637	14.29918999
YBL092W	RPL32	20.84524735	20.89130992
YBL093C	ROX3	3.195341855	3.008513028
YBL094C	YBL094C	NA	NA
YBL095W	YBL095W	2.681746047	2.045394427
YBL096C	YBL096C	2.610140994	3.083666587
YBL097W	BRN1	1.374333131	1.369531819
YBL098W	BNA4	7.428735989	8.629921864
YBL099W	ATP1	9.114977044	9.783257407
YBL100C	YBL100C	7.242973289	9.371101295
YBL100W-C	YBL100W-C	NA	NA
YBL101C	ECM21	1.683570987	2.589872954
YBL102W	SFT2	6.432413461	7.001340263
YBL103C	RTG3	2.283222754	2.008564026
YBL104C	SEA4	2.033498429	2.465617331
YBL105C	PKC1	3.301112057	2.429883442
YBL106C	SRO77	1.282538101	2.479569837
YBL107C	MIC23	3.767903371	5.752482233
YBL107W-A	YBL107W-A	NA	NA
YBL108C-A	PAU9	3.343675314	2.713953159
YBL108W	YBL108W	1.476196956	NA
YBL109W	YBL109W	5.218706124	NA
YBR001C	NTH2	2.629730964	3.480607042
YBR002C	RER2	1.611300553	2.374092946
YBR003W	COQ1	4.782573362	5.256628151
YBR004C	GPI18	2.097931913	2.93259433
YBR005W	RCR1	3.316926149	3.170424692
YBR006W	UGA2	8.950522709	9.722603362
YBR007C	DSF2	1.702009525	1.887166683
YBR008C	FLR1	6.008471854	NA
YBR009C	HHF1	2.697653317	3.489991754
YBR010W	HHT1	2.745315788	2.92976905
YBR011C	IPP1	30.92440774	36.37664556
YBR014C	GRX7	5.654174711	6.681350437
YBR015C	MNN2	5.360298401	6.109352096
YBR016W	YBR016W	7.757372336	9.299458175
YBR017C	KAP104	3.739348349	4.85913884
YBR018C	GAL7	NA	NA
YBR019C	GAL10	NA	4.636253507
YBR020W	GAL1	NA	NA
YBR021W	FUR4	1.535279705	1.565162017
YBR022W	POA1	4.468671186	5.552825428
YBR023C	CHS3	2.249000672	2.770249897
YBR024W	SCO2	5.917906508	5.835051546
YBR025C	OLA1	14.80648302	15.57585928
YBR026C	ETR1	8.86309527	10.91547718
YBR027C	YBR027C	NA	NA
YBR028C	YPK3	3.153445625	3.415146413
YBR029C	CDS1	2.035863319	2.433902246
YBR030W	RKM3	2.353894269	2.864536957
YBR031W	RPL4A	8.181026785	10.94633553
YBR032W	YBR032W	NA	NA
YBR033W	EDS1	3.046699301	3.816985188
YBR034C	HMT1	2.712443711	2.437257831
YBR035C	PDX3	9.374653642	14.73103395
YBR036C	CSG2	3.96809373	3.93541504
YBR037C	SCO1	4.761066374	6.428531178
YBR038W	CHS2	2.183062786	2.526116707
YBR039W	ATP3	7.072350418	8.731151539
YBR040W	FIG1	NA	NA
